H{Wasserstoff;Hydrogen;1;1.008;2.20;1;1;Gasförmig;Gas;Nichtmetalle;Nonmetals;1s1}
He{Helium;Helium;2;4.0026;-;1;18;Gasförmig;Gas;Edelgase;Noble gases;1s2}
Li{Lithium;Lithium;3;6.94;0.98;2;1;Fest;Solid;Alkalimetalle;Alkali metals;[He] 2s1}
Be{Beryllium;Beryllium;4;9.0122;1.57;2;2;Fest;Solid;Erdalkalimetalle;Alkaline earth metals;[He] 2s2}
B{Bor;Boron;5;10.81;2.04;2;13;Fest;Solid;Halbmetalle;Metalloids;[He] 2s2 2p1}
C{Kohlenstoff;Carbon;6;12.011;2.55;2;14;Fest;Solid;Nichtmetalle;Nonmetals;[He] 2s2 2p2}
N{Stickstoff;Nitrogen;7;14.007;3.04;2;15;Gasförmig;Gas;Nichtmetalle;Nonmetals;[He] 2s2 2p3}
O{Sauerstoff;Oxygen;8;15.999;3.44;2;16;Gasförmig;Gas;Nichtmetalle;Nonmetals;[He] 2s2 2p4}
F{Fluor;Fluorine;9;18.998;3.98;2;17;Gasförmig;Gas;Halogene;Halogens;[He] 2s2 2p5}
Ne{Neon;Neon;10;20.180;-;2;18;Gasförmig;Gas;Edelgase;Noble gases;[He] 2s2 2p6}
Na{Natrium;Sodium;11;22.990;0.93;3;1;Fest;Solid;Alkalimetalle;Alkali metals;[Ne] 3s1}
Mg{Magnesium;Magnesium;12;24.305;1.31;3;2;Fest;Solid;Erdalkalimetalle;Alkaline earth metals;[Ne] 3s2}
Al{Aluminium;Aluminum;13;26.982;1.61;3;13;Fest;Solid;Metalle;Metals;[Ne] 3s2 3p1}
Si{Silizium;Silicon;14;28.085;1.90;3;14;Fest;Solid;Halbmetalle;Metalloids;[Ne] 3s2 3p2}
P{Phosphor;Phosphorus;15;30.974;2.19;3;15;Fest;Solid;Nichtmetalle;Nonmetals;[Ne] 3s2 3p3}
S{Schwefel;Sulfur;16;32.06;2.58;3;16;Fest;Solid;Nichtmetalle;Nonmetals;[Ne] 3s2 3p4}
Cl{Chlor;Chlorine;17;35.45;3.16;3;17;Gasförmig;Gas;Halogene;Halogens;[Ne] 3s2 3p5}
Ar{Argon;Argon;18;39.948;-;3;18;Gasförmig;Gas;Edelgase;Noble gases;[Ne] 3s2 3p6}
K{Kalium;Potassium;19;39.098;0.82;4;1;Fest;Solid;Alkalimetalle;Alkali metals;[Ar] 4s1}
Ca{Calcium;Calcium;20;40.078;1.00;4;2;Fest;Solid;Erdalkalimetalle;Alkaline earth metals;[Ar] 4s2}
Sc{Scandium;Scandium;21;44.956;1.36;4;3;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d1 4s2}
Ti{Titan;Titanium;22;47.867;1.54;4;4;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d2 4s2}
V{Vanadium;Vanadium;23;50.942;1.63;4;5;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d3 4s2}
Cr{Chrom;Chromium;24;51.996;1.66;4;6;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d5 4s1}
Mn{Mangan;Manganese;25;54.938;1.55;4;7;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d5 4s2}
Fe{Eisen;Iron;26;55.845;1.83;4;8;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d6 4s2}
Co{Cobalt;Cobalt;27;58.933;1.88;4;9;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d7 4s2}
Ni{Nickel;Nickel;28;58.693;1.91;4;10;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d8 4s2}
Cu{Kupfer;Copper;29;63.546;1.90;4;11;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d10 4s1}
Zn{Zink;Zinc;30;65.38;1.65;4;12;Fest;Solid;Übergangsmetalle;Transition metals;[Ar] 3d10 4s2}
Ga{Gallium;Gallium;31;69.723;1.81;4;13;Fest;Solid;Metalle;Metals;[Ar] 3d10 4s2 4p1}
Ge{Germanium;Germanium;32;72.630;2.01;4;14;Fest;Solid;Halbmetalle;Metalloids;[Ar] 3d10 4s2 4p2}
As{Arsen;Arsenic;33;74.922;2.18;4;15;Fest;Solid;Halbmetalle;Metalloids;[Ar] 3d10 4s2 4p3}
Se{Selen;Selenium;34;78.971;2.55;4;16;Fest;Solid;Nichtmetalle;Nonmetals;[Ar] 3d10 4s2 4p4}
Br{Brom;Bromine;35;79.904;2.96;4;17;Flüssig;Liquid;Halogene;Halogens;[Ar] 3d10 4s2 4p5}
Kr{Krypton;Krypton;36;83.798;3.00;4;18;Gasförmig;Gas;Edelgase;Noble gases;[Ar] 3d10 4s2 4p6}
Rb{Rubidium;Rubidium;37;85.468;0.82;5;1;Fest;Solid;Alkalimetalle;Alkali metals;[Kr] 5s1}
Sr{Strontium;Strontium;38;87.62;0.95;5;2;Fest;Solid;Erdalkalimetalle;Alkaline earth metals;[Kr] 5s2}
Y{Yttrium;Yttrium;39;88.906;1.22;5;3;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d1 5s2}
Zr{Zirkonium;Zirconium;40;91.224;1.33;5;4;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d2 5s2}
Nb{Niob;Niobium;41;92.906;1.6;5;5;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d4 5s1}
Mo{Molybdän;Molybdenum;42;95.95;2.16;5;6;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d5 5s1}
Tc{Technetium;Technetium;43;(98);1.9;5;7;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d5 5s2}
Ru{Ruthenium;Ruthenium;44;101.07;2.2;5;8;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d7 5s1}
Rh{Rhodium;Rhodium;45;102.91;2.28;5;9;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d8 5s1}
Pd{Palladium;Palladium;46;106.42;2.20;5;10;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d10}
Ag{Silber;Silver;47;107.87;1.93;5;11;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d10 5s1}
Cd{Cadmium;Cadmium;48;112.41;1.69;5;12;Fest;Solid;Übergangsmetalle;Transition metals;[Kr] 4d10 5s2}
In{Indium;Indium;49;114.82;1.78;5;13;Fest;Solid;Metalle;Metals;[Kr] 4d10 5s2 5p1}
Sn{Zinn;Tin;50;118.71;1.96;5;14;Fest;Solid;Metalle;Metals;[Kr] 4d10 5s2 5p2}
Sb{Antimon;Antimony;51;121.76;2.05;5;15;Fest;Solid;Halbmetalle;Metalloids;[Kr] 4d10 5s2 5p3}
Te{Tellur;Tellurium;52;127.60;2.1;5;16;Fest;Solid;Halbmetalle;Metalloids;[Kr] 4d10 5s2 5p4}
I{Iod;Iodine;53;126.90;2.66;5;17;Fest;Solid;Halogene;Halogens;[Kr] 4d10 5s2 5p5}
Xe{Xenon;Xenon;54;131.29;2.6;5;18;Gasförmig;Gas;Edelgase;Noble gases;[Kr] 4d10 5s2 5p6}
Cs{Cäsium;Cesium;55;132.91;0.79;6;1;Fest;Solid;Alkalimetalle;Alkali metals;[Xe] 6s1}
Ba{Barium;Barium;56;137.33;0.89;6;2;Fest;Solid;Erdalkalimetalle;Alkaline earth metals;[Xe] 6s2}
